schema_version	figure_id	facet_order	facet_label	query_id	panel_id	comparison_id	tail	profile_id	analysis_universe	pathway_collection	collection_release	query_size	background_size	significant_pathways	matched_pathways	displayed_pathways	omitted_by_cap	display_rule	explicit_query_status
yu_mitochondrial_pathway_display_summary_v2	figure03	1	Highest similarity	female_vs_male_all_apoe::core_mito::high_score::200	Figure_3B	female_vs_male_all_apoe	high_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	700	0	241	15	226	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure03	2	Lowest similarity	female_vs_male_all_apoe::core_mito::low_score::200	Figure_3B	female_vs_male_all_apoe	low_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	700	81	292	15	277	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure04	1	Highest similarity	e2_vs_e33_all_sexes::core_mito::high_score::200	Figure_4B	e2_vs_e33_all_sexes	high_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	708	0	283	15	268	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure04	2	Lowest similarity	e2_vs_e33_all_sexes::core_mito::low_score::200	Figure_4B	e2_vs_e33_all_sexes	low_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	708	58	294	15	279	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure05	1	Highest similarity	e4_vs_e33_all_sexes::core_mito::high_score::200	Figure_5B	e4_vs_e33_all_sexes	high_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	686	0	231	15	216	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure05	2	Lowest similarity	e4_vs_e33_all_sexes::core_mito::low_score::200	Figure_5B	e4_vs_e33_all_sexes	low_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	686	53	295	15	280	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure06	1	APOE e2 - highest similarity	female_vs_male_e2::core_mito::high_score::200	Figure_6B_e2	female_vs_male_e2	high_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	732	0	276	15	261	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure06	2	APOE e2 - lowest similarity	female_vs_male_e2::core_mito::low_score::200	Figure_6B_e2	female_vs_male_e2	low_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	732	39	301	15	286	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure06	3	APOE e33 - highest similarity	female_vs_male_e33::core_mito::high_score::200	Figure_6B_e33	female_vs_male_e33	high_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	705	0	267	15	252	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure06	4	APOE e33 - lowest similarity	female_vs_male_e33::core_mito::low_score::200	Figure_6B_e33	female_vs_male_e33	low_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	705	52	310	15	295	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure06	5	APOE e4 - highest similarity	female_vs_male_e4::core_mito::high_score::200	Figure_6B_e4	female_vs_male_e4	high_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	679	0	286	15	271	tested_overlap_positive_by_statistical_order	pathway_matches_present
yu_mitochondrial_pathway_display_summary_v2	figure06	6	APOE e4 - lowest similarity	female_vs_male_e4::core_mito::low_score::200	Figure_6B_e4	female_vs_male_e4	low_score	primary_yu_mito	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	200	679	29	273	15	258	tested_overlap_positive_by_statistical_order	pathway_matches_present
