schema_version	check	passed	observed	expected
mito_annotations_checks_v1	gencode_gzip_integrity	TRUE	0	0
mito_annotations_checks_v1	gencode_sha256	TRUE	3e52f82c63f8fd860bf632ccde10441c05751f4c342ad08c0a98e9e2700171a5	3e52f82c63f8fd860bf632ccde10441c05751f4c342ad08c0a98e9e2700171a5
mito_annotations_checks_v1	gencode_gene_records	TRUE	62700	>0
mito_annotations_checks_v1	mitocarta_sha256	TRUE	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2
mito_annotations_checks_v1	mitocarta_inventory_rows	TRUE	1136	1136
mito_annotations_checks_v1	mitocarta_unique_symbols	TRUE	0	0
mito_annotations_checks_v1	mitocarta_pathways	TRUE	154	154
mito_annotations_checks_v1	feature_inventories	TRUE	9	9
mito_annotations_checks_v1	all_mtdna_genes_measured	TRUE	13;13;13;13;13;13;13;13;13	13
mito_annotations_checks_v1	mtdna_chromosomes_present	TRUE	13;13;13;13;13;13;13;13;13	13
mito_annotations_checks_v1	tested_gene_universe	TRUE	301842	>0
