schema_version	section	metric	category	value
pathway_qc_summary_v1	background	background_size	e2_vs_e33_all_sexes::all_mito_related	775
pathway_qc_summary_v1	background	background_size	e2_vs_e33_all_sexes::core_mito	708
pathway_qc_summary_v1	background	background_size	e4_vs_e33_all_sexes::all_mito_related	751
pathway_qc_summary_v1	background	background_size	e4_vs_e33_all_sexes::core_mito	686
pathway_qc_summary_v1	background	background_size	female_vs_male_all_apoe::all_mito_related	766
pathway_qc_summary_v1	background	background_size	female_vs_male_all_apoe::core_mito	700
pathway_qc_summary_v1	background	background_size	female_vs_male_e2::all_mito_related	798
pathway_qc_summary_v1	background	background_size	female_vs_male_e2::core_mito	732
pathway_qc_summary_v1	background	background_size	female_vs_male_e33::all_mito_related	770
pathway_qc_summary_v1	background	background_size	female_vs_male_e33::core_mito	705
pathway_qc_summary_v1	background	background_size	female_vs_male_e4::all_mito_related	743
pathway_qc_summary_v1	background	background_size	female_vs_male_e4::core_mito	679
pathway_qc_summary_v1	downstream	pathway_panel_rows	focused_mitopathways	1341
pathway_qc_summary_v1	downstream	pathway_panel_rows	inclusive_yu_sensitivity	37035
pathway_qc_summary_v1	downstream	pathway_panel_rows	primary_yu_mito	37035
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e2_vs_e33_all_sexes::all_mito_related::high_score::200::mitocarta_mitopathways_v3_0	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e2_vs_e33_all_sexes::all_mito_related::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e2_vs_e33_all_sexes::all_mito_related::low_score::200::mitocarta_mitopathways_v3_0	7
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e2_vs_e33_all_sexes::all_mito_related::low_score::200::msigdb_c2_cp_v2026_1	87
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e2_vs_e33_all_sexes::core_mito::high_score::200::mitocarta_mitopathways_v3_0	4
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e2_vs_e33_all_sexes::core_mito::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e2_vs_e33_all_sexes::core_mito::low_score::200::mitocarta_mitopathways_v3_0	8
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e2_vs_e33_all_sexes::core_mito::low_score::200::msigdb_c2_cp_v2026_1	62
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e4_vs_e33_all_sexes::all_mito_related::high_score::200::mitocarta_mitopathways_v3_0	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e4_vs_e33_all_sexes::all_mito_related::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e4_vs_e33_all_sexes::all_mito_related::low_score::200::mitocarta_mitopathways_v3_0	7
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e4_vs_e33_all_sexes::all_mito_related::low_score::200::msigdb_c2_cp_v2026_1	68
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e4_vs_e33_all_sexes::core_mito::high_score::200::mitocarta_mitopathways_v3_0	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e4_vs_e33_all_sexes::core_mito::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e4_vs_e33_all_sexes::core_mito::low_score::200::mitocarta_mitopathways_v3_0	6
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	e4_vs_e33_all_sexes::core_mito::low_score::200::msigdb_c2_cp_v2026_1	35
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_all_apoe::all_mito_related::high_score::200::mitocarta_mitopathways_v3_0	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_all_apoe::all_mito_related::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_all_apoe::all_mito_related::low_score::200::mitocarta_mitopathways_v3_0	8
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_all_apoe::all_mito_related::low_score::200::msigdb_c2_cp_v2026_1	120
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_all_apoe::core_mito::high_score::200::mitocarta_mitopathways_v3_0	2
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_all_apoe::core_mito::high_score::200::msigdb_c2_cp_v2026_1	1
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_all_apoe::core_mito::low_score::200::mitocarta_mitopathways_v3_0	8
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_all_apoe::core_mito::low_score::200::msigdb_c2_cp_v2026_1	64
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e2::all_mito_related::high_score::200::mitocarta_mitopathways_v3_0	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e2::all_mito_related::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e2::all_mito_related::low_score::200::mitocarta_mitopathways_v3_0	8
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e2::all_mito_related::low_score::200::msigdb_c2_cp_v2026_1	83
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e2::core_mito::high_score::200::mitocarta_mitopathways_v3_0	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e2::core_mito::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e2::core_mito::low_score::200::mitocarta_mitopathways_v3_0	8
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e2::core_mito::low_score::200::msigdb_c2_cp_v2026_1	41
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e33::all_mito_related::high_score::200::mitocarta_mitopathways_v3_0	1
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e33::all_mito_related::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e33::all_mito_related::low_score::200::mitocarta_mitopathways_v3_0	6
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e33::all_mito_related::low_score::200::msigdb_c2_cp_v2026_1	66
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e33::core_mito::high_score::200::mitocarta_mitopathways_v3_0	1
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e33::core_mito::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e33::core_mito::low_score::200::mitocarta_mitopathways_v3_0	7
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e33::core_mito::low_score::200::msigdb_c2_cp_v2026_1	35
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e4::all_mito_related::high_score::200::mitocarta_mitopathways_v3_0	1
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e4::all_mito_related::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e4::all_mito_related::low_score::200::mitocarta_mitopathways_v3_0	4
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e4::all_mito_related::low_score::200::msigdb_c2_cp_v2026_1	51
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e4::core_mito::high_score::200::mitocarta_mitopathways_v3_0	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e4::core_mito::high_score::200::msigdb_c2_cp_v2026_1	0
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e4::core_mito::low_score::200::mitocarta_mitopathways_v3_0	6
pathway_qc_summary_v1	ora	tail_fdr_significant_pathways	female_vs_male_e4::core_mito::low_score::200::msigdb_c2_cp_v2026_1	32
pathway_qc_summary_v1	ora	test_status_rows	mitocarta_mitopathways_v3_0::not_testable	1372
pathway_qc_summary_v1	ora	test_status_rows	mitocarta_mitopathways_v3_0::tested	2204
pathway_qc_summary_v1	ora	test_status_rows	msigdb_c2_cp_v2026_1::not_testable	86022
pathway_qc_summary_v1	ora	test_status_rows	msigdb_c2_cp_v2026_1::tested	12738
pathway_qc_summary_v1	query	query_size	e2_vs_e33_all_sexes::all_mito_related::high_score::200	200
pathway_qc_summary_v1	query	query_size	e2_vs_e33_all_sexes::all_mito_related::low_score::200	200
pathway_qc_summary_v1	query	query_size	e2_vs_e33_all_sexes::core_mito::high_score::200	200
pathway_qc_summary_v1	query	query_size	e2_vs_e33_all_sexes::core_mito::low_score::200	200
pathway_qc_summary_v1	query	query_size	e4_vs_e33_all_sexes::all_mito_related::high_score::200	200
pathway_qc_summary_v1	query	query_size	e4_vs_e33_all_sexes::all_mito_related::low_score::200	200
pathway_qc_summary_v1	query	query_size	e4_vs_e33_all_sexes::core_mito::high_score::200	200
pathway_qc_summary_v1	query	query_size	e4_vs_e33_all_sexes::core_mito::low_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_all_apoe::all_mito_related::high_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_all_apoe::all_mito_related::low_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_all_apoe::core_mito::high_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_all_apoe::core_mito::low_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e2::all_mito_related::high_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e2::all_mito_related::low_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e2::core_mito::high_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e2::core_mito::low_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e33::all_mito_related::high_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e33::all_mito_related::low_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e33::core_mito::high_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e33::core_mito::low_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e4::all_mito_related::high_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e4::all_mito_related::low_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e4::core_mito::high_score::200	200
pathway_qc_summary_v1	query	query_size	female_vs_male_e4::core_mito::low_score::200	200
pathway_qc_summary_v1	reference	normalized_pathways	mitocarta_mitopathways_v3_0	149
pathway_qc_summary_v1	reference	normalized_pathways	msigdb_c2_cp_v2026_1	4115
